,0,1,2,3,4,5,6,7,8
0,2,20,16,21,2,<pad>,<pad>,<pad>,<pad>
1,1,13,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
2,1,2,21,16,<pad>,<pad>,<pad>,<pad>,<pad>
3,2,2,10,21,26,<pad>,<pad>,<pad>,<pad>
4,1,28,2,13,<pad>,<pad>,<pad>,<pad>,<pad>
5,3,11,26,25,20,28,<pad>,<pad>,<pad>
6,4,2,16,1,12,21,14,<pad>,<pad>
7,1,9,10,15,<pad>,<pad>,<pad>,<pad>,<pad>
8,3,12,20,16,21,1,<pad>,<pad>,<pad>
9,1,19,11,28,<pad>,<pad>,<pad>,<pad>,<pad>
10,3,12,1,16,21,2,<pad>,<pad>,<pad>
11,1,28,11,16,<pad>,<pad>,<pad>,<pad>,<pad>
12,1,1,2,21,<pad>,<pad>,<pad>,<pad>,<pad>
13,2,13,2,21,16,<pad>,<pad>,<pad>,<pad>
14,1,9,26,2,<pad>,<pad>,<pad>,<pad>,<pad>
15,1,1,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
16,2,2,9,10,21,<pad>,<pad>,<pad>,<pad>
17,1,16,21,26,<pad>,<pad>,<pad>,<pad>,<pad>
18,1,17,26,27,<pad>,<pad>,<pad>,<pad>,<pad>
19,1,15,25,26,<pad>,<pad>,<pad>,<pad>,<pad>
20,1,1,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
21,1,26,19,2,<pad>,<pad>,<pad>,<pad>,<pad>
22,1,13,2,20,<pad>,<pad>,<pad>,<pad>,<pad>
23,1,21,2,11,<pad>,<pad>,<pad>,<pad>,<pad>
24,6,21,2,7,13,28,11,12,16
25,5,1,11,26,25,29,28,12,<pad>
26,1,25,10,12,<pad>,<pad>,<pad>,<pad>,<pad>
27,1,11,12,26,<pad>,<pad>,<pad>,<pad>,<pad>
28,1,28,12,20,<pad>,<pad>,<pad>,<pad>,<pad>
29,1,20,2,12,<pad>,<pad>,<pad>,<pad>,<pad>
30,1,2,13,11,<pad>,<pad>,<pad>,<pad>,<pad>
31,1,21,5,2,<pad>,<pad>,<pad>,<pad>,<pad>
32,1,2,16,1,<pad>,<pad>,<pad>,<pad>,<pad>
33,1,2,26,20,<pad>,<pad>,<pad>,<pad>,<pad>
34,1,21,2,16,<pad>,<pad>,<pad>,<pad>,<pad>
35,1,21,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
36,1,2,13,22,<pad>,<pad>,<pad>,<pad>,<pad>
37,1,1,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
38,1,16,14,13,<pad>,<pad>,<pad>,<pad>,<pad>
39,2,1,21,16,6,<pad>,<pad>,<pad>,<pad>
40,1,13,20,28,<pad>,<pad>,<pad>,<pad>,<pad>
41,1,1,16,28,<pad>,<pad>,<pad>,<pad>,<pad>
42,2,1,28,20,9,<pad>,<pad>,<pad>,<pad>
43,1,29,28,12,<pad>,<pad>,<pad>,<pad>,<pad>
44,1,10,25,26,<pad>,<pad>,<pad>,<pad>,<pad>
45,2,15,10,26,25,<pad>,<pad>,<pad>,<pad>
46,1,10,15,25,<pad>,<pad>,<pad>,<pad>,<pad>
47,2,2,21,16,1,<pad>,<pad>,<pad>,<pad>
48,2,25,10,9,2,<pad>,<pad>,<pad>,<pad>
49,1,15,10,19,<pad>,<pad>,<pad>,<pad>,<pad>
50,5,21,16,1,26,9,10,15,<pad>
51,1,29,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
52,1,10,9,26,<pad>,<pad>,<pad>,<pad>,<pad>
53,1,26,13,20,<pad>,<pad>,<pad>,<pad>,<pad>
54,2,11,1,16,9,<pad>,<pad>,<pad>,<pad>
55,1,16,2,21,<pad>,<pad>,<pad>,<pad>,<pad>
56,1,1,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
57,1,26,10,9,<pad>,<pad>,<pad>,<pad>,<pad>
58,2,13,28,2,26,<pad>,<pad>,<pad>,<pad>
59,1,1,2,20,<pad>,<pad>,<pad>,<pad>,<pad>
60,3,2,13,9,16,21,<pad>,<pad>,<pad>
61,1,2,20,26,<pad>,<pad>,<pad>,<pad>,<pad>
62,1,11,12,28,<pad>,<pad>,<pad>,<pad>,<pad>
63,1,13,28,12,<pad>,<pad>,<pad>,<pad>,<pad>
64,2,11,28,20,2,<pad>,<pad>,<pad>,<pad>
65,3,2,21,16,13,10,<pad>,<pad>,<pad>
66,1,16,2,21,<pad>,<pad>,<pad>,<pad>,<pad>
67,1,12,20,2,<pad>,<pad>,<pad>,<pad>,<pad>
68,3,20,28,12,16,1,<pad>,<pad>,<pad>
69,1,9,10,15,<pad>,<pad>,<pad>,<pad>,<pad>
70,1,9,10,1,<pad>,<pad>,<pad>,<pad>,<pad>
71,3,1,16,2,26,6,<pad>,<pad>,<pad>
72,3,10,15,11,16,21,<pad>,<pad>,<pad>
73,1,2,28,12,<pad>,<pad>,<pad>,<pad>,<pad>
74,2,21,2,19,20,<pad>,<pad>,<pad>,<pad>
75,2,2,16,21,28,<pad>,<pad>,<pad>,<pad>
76,1,16,8,12,<pad>,<pad>,<pad>,<pad>,<pad>
77,1,13,1,11,<pad>,<pad>,<pad>,<pad>,<pad>
78,1,19,25,26,<pad>,<pad>,<pad>,<pad>,<pad>
79,1,8,21,16,<pad>,<pad>,<pad>,<pad>,<pad>
80,1,15,21,12,<pad>,<pad>,<pad>,<pad>,<pad>
81,1,20,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
82,1,20,2,16,<pad>,<pad>,<pad>,<pad>,<pad>
83,2,21,16,20,11,<pad>,<pad>,<pad>,<pad>
84,1,11,20,10,<pad>,<pad>,<pad>,<pad>,<pad>
85,1,1,16,13,<pad>,<pad>,<pad>,<pad>,<pad>
86,1,1,16,20,<pad>,<pad>,<pad>,<pad>,<pad>
87,2,20,2,21,16,<pad>,<pad>,<pad>,<pad>
88,3,21,16,12,20,2,<pad>,<pad>,<pad>
89,1,1,16,11,<pad>,<pad>,<pad>,<pad>,<pad>
90,1,1,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
91,1,26,10,20,<pad>,<pad>,<pad>,<pad>,<pad>
92,1,13,2,28,<pad>,<pad>,<pad>,<pad>,<pad>
93,1,2,21,13,<pad>,<pad>,<pad>,<pad>,<pad>
94,1,21,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
95,1,16,21,20,<pad>,<pad>,<pad>,<pad>,<pad>
96,1,16,21,20,<pad>,<pad>,<pad>,<pad>,<pad>
97,2,2,16,1,21,<pad>,<pad>,<pad>,<pad>
98,1,10,12,2,<pad>,<pad>,<pad>,<pad>,<pad>
99,2,10,9,26,15,<pad>,<pad>,<pad>,<pad>
100,1,2,10,13,<pad>,<pad>,<pad>,<pad>,<pad>
101,1,2,16,21,<pad>,<pad>,<pad>,<pad>,<pad>
102,3,26,9,10,1,2,<pad>,<pad>,<pad>
103,4,21,16,27,11,13,2,<pad>,<pad>
104,2,16,20,29,1,<pad>,<pad>,<pad>,<pad>
105,1,15,10,9,<pad>,<pad>,<pad>,<pad>,<pad>
106,1,16,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
107,1,27,17,26,<pad>,<pad>,<pad>,<pad>,<pad>
108,2,2,21,1,13,<pad>,<pad>,<pad>,<pad>
109,1,16,21,1,<pad>,<pad>,<pad>,<pad>,<pad>
110,1,26,11,28,<pad>,<pad>,<pad>,<pad>,<pad>
111,1,13,2,21,<pad>,<pad>,<pad>,<pad>,<pad>
